"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.801812500E-2,-1.946736896E-1,-7.716628969E-2,5.432063798E-2,2.163405034E-1
2.796712500E-2,-1.246766710E-1,-2.384494543E-3,-1.726869893E-1,2.130041182E-1
3.794612500E-2,-4.470371783E-2,4.031128943E-2,-2.468507338E-1,2.540840554E-1
4.789512500E-2,3.304027677E-2,6.333353162E-2,-1.676209617E-1,1.822075270E-1
5.787412501E-2,8.261647940E-2,4.926980853E-2,-1.009527630E-1,1.394433830E-1
6.782312501E-2,7.789719164E-2,1.375791371E-2,-2.699215078E-1,2.812736622E-1
7.780212500E-2,8.735038519E-2,6.154194474E-3,-4.454876661E-1,4.540123617E-1
8.775112500E-2,9.884074867E-2,1.266389966E-2,-5.463006806E-1,5.553145970E-1
9.773012501E-2,4.174122602E-1,3.285082698E-2,-3.941561294E-1,5.750401952E-1
1.076791250E-1,8.213507813E-1,5.121459246E-2,-3.543564713E-1,8.959958422E-1
1.176581250E-1,1.315988973E0,7.570507050E-2,-3.408225060E-1,1.361513208E0
1.276071250E-1,1.611846975E0,1.032589048E-1,-3.282264340E-1,1.648164332E0
1.375861250E-1,1.848689030E0,1.333416599E-1,-1.386597025E-1,1.858670934E0
1.475351250E-1,1.966650758E0,1.464809382E-1,-1.818706262E-1,1.980466812E0
1.575141250E-1,1.755112529E0,1.356969184E-1,4.974690478E-2,1.761053207E0
1.674631250E-1,1.396615060E0,2.077001166E-1,3.435402918E-1,1.453166507E0
1.774421250E-1,1.500745785E0,2.482721919E-1,3.283234247E-1,1.556172633E0
1.873911250E-1,2.574636641E0,2.579382241E-1,-3.750638008E-2,2.587796879E0
1.973701250E-1,4.289540792E0,4.145120412E-1,-4.194920417E-1,4.329890762E0
2.073191250E-1,5.552283849E0,3.977474892E-1,-2.860248128E-1,5.573855865E0
2.172981250E-1,6.265617262E0,7.006975794E-1,4.977360463E-1,6.324292683E0
2.272471250E-1,5.982390999E0,6.757241213E-1,7.201162557E-1,6.063346648E0
2.372261250E-1,5.743034057E0,1.011271269E0,7.805074684E-1,5.883392021E0
2.471751250E-1,5.528717231E0,1.064500228E0,7.585102431E-1,5.681127771E0
2.571541250E-1,5.303880095E0,1.275162544E0,8.344351689E-1,5.518465876E0
2.671031250E-1,5.083465208E0,1.526657721E0,8.686986832E-1,5.378377052E0
2.770821250E-1,4.880029466E0,1.828513212E0,8.283597656E-1,5.276772503E0
2.870311250E-1,4.712866341E0,2.064536072E0,1.028978904E0,5.247115010E0
2.970101250E-1,4.540291033E0,2.049411664E0,1.030294674E0,5.086829853E0
3.069591250E-1,4.330750213E0,2.386357466E0,1.257745442E0,5.102158657E0
3.169381250E-1,4.077551450E0,2.791368951E0,1.364334337E0,5.126360759E0
3.268871250E-1,3.809470061E0,2.906205928E0,1.143146959E0,4.925939505E0
3.368661250E-1,3.484410479E0,3.214044290E0,9.938547528E-1,4.843443440E0
3.468151250E-1,3.119927215E0,3.558759872E0,8.811812460E-1,4.814062530E0
3.567941250E-1,2.749760165E0,3.632392105E0,6.231190610E-1,4.598231261E0
3.667431250E-1,2.344805397E0,3.911661556E0,6.159141219E-1,4.602016807E0
3.767221250E-1,1.938776497E0,4.196468321E0,7.544510329E-1,4.683844258E0
3.866711250E-1,1.542475755E0,4.286913053E0,8.683267272E-1,4.637978685E0
3.966501250E-1,1.109870089E0,4.527417219E0,1.090683475E0,4.787369709E0
4.065981250E-1,6.822807504E-1,4.686139888E0,1.160866435E0,4.875758910E0
4.165781250E-1,3.013576010E-1,4.691309996E0,1.137676377E0,4.836684135E0
