"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.391766666E-2,2.927642405E-2,2.103945136E-2,-1.841567779E-1,1.876525682E-1
2.386666666E-2,-3.839924991E-2,-7.230316043E-2,-1.254063305E-1,1.497631367E-1
3.384566667E-2,9.150307775E-3,-4.069954455E-2,-1.305562656E-2,4.371075890E-2
4.379466666E-2,6.407495856E-2,-3.276779652E-2,-9.485316686E-3,7.258994446E-2
5.377366666E-2,6.370950758E-2,-3.492717326E-2,-7.341763973E-2,1.032906511E-1
6.372266666E-2,1.786382854E-2,-3.837995410E-2,-1.700031173E-1,1.751947406E-1
7.370166665E-2,1.154591203E-2,-1.864852488E-2,-1.208245254E-1,1.227991917E-1
8.365066665E-2,1.494431376E-2,-2.039333403E-2,-6.485494059E-2,6.960879187E-2
9.362966666E-2,-1.398385012E-1,-2.390107870E-2,1.821919307E-3,1.418780722E-1
1.035786667E-1,-3.229826510E-1,-3.064701140E-2,9.456044063E-3,3.245711770E-1
1.135576667E-1,-3.470369267E-1,-2.903844237E-2,-5.747571789E-2,3.529607879E-1
1.235066667E-1,-2.965865654E-1,-2.696618915E-2,-1.191123875E-1,3.207468269E-1
1.334856667E-1,-1.949543560E-1,-2.292167008E-2,-9.551777601E-2,2.183031136E-1
1.434346667E-1,-9.386652231E-2,-1.096352935E-2,-1.070383988E-2,9.510885960E-2
1.534136667E-1,-9.301458299E-2,-2.670423388E-3,6.468116865E-3,9.327743750E-2
1.633443333E-1,-1.279955506E-1,-2.386248708E-2,-4.315245152E-2,1.371656420E-1
1.733233333E-1,-7.687977612E-2,1.700955033E-2,-9.644631386E-2,1.245058884E-1
1.832723333E-1,2.906767845E-2,6.669041812E-2,-1.301368010E-1,1.490910084E-1
1.932513333E-1,9.738596141E-2,9.917228580E-2,-1.651766793E-1,2.158761292E-1
2.032003333E-1,-1.333749890E-3,1.050119001E-1,-1.869493715E-1,2.144279496E-1
2.131793333E-1,4.202861667E-2,9.966696024E-2,7.153249741E-2,1.296796274E-1
2.231283333E-1,8.341696322E-2,8.766321123E-2,1.033484403E-1,1.591355663E-1
2.331073333E-1,9.679246902E-2,6.234301329E-2,-5.426925100E-2,1.272815186E-1
2.430563333E-1,1.020935547E-1,5.795175433E-2,-1.341913334E-1,1.782941775E-1
2.530353333E-1,9.470267415E-2,7.613659501E-2,-1.655299973E-1,2.053425373E-1
2.629843333E-1,7.558929563E-2,5.986613274E-2,-3.028850399E-2,1.010697231E-1
2.729633333E-1,3.748123705E-2,3.682167113E-2,4.248945035E-2,6.757242031E-2
2.829423333E-1,-5.309856534E-3,3.696902096E-2,9.902771339E-3,3.863894366E-2
2.928913333E-1,-5.441711247E-2,3.692692101E-2,-5.809435330E-2,8.774835332E-2
3.028703333E-1,-4.340563595E-2,2.556402683E-2,-9.758301258E-2,1.098180907E-1
3.128193333E-1,5.274890184E-2,2.037930071E-2,-4.828754939E-2,7.436027145E-2
3.227983333E-1,1.854567236E-1,2.030562580E-2,-9.125157438E-2,2.076857351E-1
3.327473333E-1,2.757763249E-1,1.257502198E-2,-1.512720736E-1,3.147919198E-1
3.427263333E-1,3.991677779E-1,2.379933715E-2,-1.584221220E-1,4.301149754E-1
3.526753333E-1,5.975743300E-1,4.425172806E-2,-1.488772003E-1,6.174283084E-1
3.626543333E-1,9.541281849E-1,8.239779353E-2,4.840325117E-2,9.589019055E-1
3.726033333E-1,1.586818553E0,1.365102661E-1,1.363407699E-1,1.598504607E0
3.825823333E-1,2.353404313E0,2.144887340E-1,5.230743706E-1,2.420356187E0
3.925313333E-1,3.461468636E0,3.201192695E-1,1.156279732E0,3.663498913E0
4.025103333E-1,4.390287148E0,4.207258773E-1,1.394025182E0,4.625466216E0
4.124593333E-1,5.111723632E0,5.089153379E-1,8.185376128E-1,5.201799413E0
4.224383333E-1,5.651504082E0,6.606166703E-1,8.201866007E-1,5.748792815E0
4.323873333E-1,5.825231291E0,8.377902281E-1,1.484961226E0,6.069622880E0
4.423663333E-1,5.611771667E0,1.052130443E0,2.225026939E0,6.127781376E0
4.523153333E-1,5.217253010E0,1.235157064E0,1.702359535E0,5.625243988E0
4.622943333E-1,5.160050284E0,1.412645786E0,-7.648883859E-1,5.404326165E0
4.722433333E-1,5.597708529E0,1.667351670E0,-2.715266855E0,6.441046224E0
4.822223333E-1,5.658908411E0,2.018686885E0,-2.480537399E0,6.500108225E0
4.921713333E-1,5.398682172E0,2.502058661E0,-8.237814689E-1,6.007052742E0
5.021503333E-1,5.165133854E0,3.057560520E0,7.919691805E-1,6.054295933E0
5.120993333E-1,4.849610496E0,3.646434778E0,1.695941631E0,6.300113218E0
5.220783333E-1,4.432272495E0,4.185501283E0,1.643527189E0,6.313845269E0
5.320273333E-1,4.006388204E0,4.677128159E0,8.400577784E-1,6.215494456E0
5.420063333E-1,3.586677403E0,5.205375561E0,-8.788131237E-2,6.322018084E0
5.519553333E-1,3.123016883E0,5.747546938E0,-4.775619829E-1,6.558627578E0
5.619343333E-1,2.487530669E0,6.292524394E0,-8.422292881E-3,6.766368525E0
5.718833333E-1,1.762918562E0,6.821029658E0,9.052507246E-1,7.103084283E0
5.818623333E-1,1.042566006E0,7.250978934E0,1.652389230E0,7.509595831E0
5.918113333E-1,3.064288911E-1,7.668869496E0,1.783456907E0,7.879478190E0
6.017903333E-1,-4.501229732E-1,8.011511071E0,1.140049762E0,8.104729100E0
6.117383333E-1,-1.174044597E0,8.133289862E0,-1.378533715E-1,8.218746148E0
6.217183333E-1,-1.812595337E0,8.093815894E0,-1.475526159E0,8.424519869E0
6.316663333E-1,-2.417844576E0,8.067620367E0,-2.301369356E0,8.730908985E0
6.416463333E-1,-2.893495250E0,8.173397668E0,-2.263074771E0,8.960929172E0
6.515943333E-1,-3.396417192E0,7.558900911E0,-1.311143385E0,8.389977932E0
6.615743333E-1,-3.970091321E0,7.654480668E0,-3.324071932E-1,8.629205869E0
6.715223333E-1,-4.554952342E0,7.376695824E0,4.450807730E-1,8.681090313E0
6.815023333E-1,-5.129742411E0,6.920901856E0,6.732880982E-1,8.640975441E0
6.914503333E-1,-5.651509929E0,6.461541671E0,3.330380347E-1,8.590809017E0
7.014303333E-1,-6.094541180E0,5.523082854E0,-5.591056444E-2,8.225022942E0
7.113783333E-1,-6.441726041E0,5.663909535E0,3.577962421E-2,8.577702827E0
7.213583333E-1,-6.715723059E0,4.304148306E0,-2.315468893E-1,7.979990150E0
7.313063333E-1,-7.051431005E0,4.121528066E0,-3.904765496E-1,8.176927587E0
7.412863333E-1,-7.232936765E0,3.315668898E0,-4.522254127E-1,7.969538400E0
7.512343333E-1,-7.440740962E0,2.846686535E0,-5.422890522E-1,7.985131665E0
7.612143333E-1,-7.633975067E0,2.206785380E0,-7.795017473E-1,7.984679080E0
7.711623333E-1,-7.723947344E0,1.456927335E0,-8.952649228E-1,7.910973335E0
7.811423333E-1,-7.848632201E0,1.408798319E0,-9.450510404E-1,8.029873075E0
7.910903333E-1,-7.940576159E0,3.431754255E-1,-1.079318388E0,8.020938055E0
8.010703333E-1,-7.899942103E0,3.943596125E-1,-6.717235295E-1,7.938250263E0
8.110183333E-1,-7.917036438E0,-1.238995761E-1,-4.921743210E-1,7.933287630E0
8.209983333E-1,-7.884253439E0,-4.303082943E-1,-9.246984176E-1,7.949948722E0
8.309463333E-1,-7.853420486E0,-6.125946575E-1,-1.757242232E0,8.070897460E0
8.409263333E-1,-7.823887954E0,-8.160409248E-1,-2.611539588E0,8.288503153E0
8.508743333E-1,-7.747966536E0,-8.792540038E-1,-3.122790889E0,8.399755710E0
8.608533333E-1,-7.672232814E0,-8.334246969E-1,-3.010758237E0,8.283864934E0
8.708023333E-1,-7.609537214E0,-7.125311744E-1,-2.227641814E0,7.960850792E0
8.807813333E-1,-7.524298843E0,-4.303252512E-1,-1.062752495E0,7.611156007E0
8.907303333E-1,-7.414419136E0,-8.296497345E-2,1.278669119E-2,7.414894322E0
9.007093333E-1,-7.257220836E0,4.058458829E-1,5.234614563E-1,7.287384788E0
9.106583333E-1,-7.047646687E0,5.220756662E-1,2.780812973E-1,7.072426460E0
9.206373333E-1,-6.777086663E0,9.770369911E-1,-2.956551039E-1,6.853533166E0
9.305863333E-1,-6.494727543E0,1.368393474E0,-6.846007063E-1,6.672530606E0
9.405653333E-1,-6.139816756E0,2.035645564E0,-4.462681963E-1,6.483853635E0
9.505143333E-1,-5.729236967E0,3.009754270E0,-2.155552661E-1,6.475279226E0
9.604933333E-1,-5.370976310E0,3.084729608E0,-3.271371708E-1,6.202415820E0
9.704423333E-1,-4.862905017E0,4.160537181E0,-3.966517210E-2,6.399960013E0
9.804213333E-1,-4.387842719E0,5.032257047E0,4.656313241E-2,6.676746427E0
9.903703333E-1,-3.753525656E0,5.307934554E0,-3.820121203E-1,6.512223686E0
1.000349333E0,-3.097483847E0,5.887560856E0,-8.171629324E-1,6.702651287E0
1.010329333E0,-2.436256873E0,6.364631673E0,-1.283688369E0,6.934820813E0
1.020277333E0,-1.770773127E0,6.869115990E0,-1.695386145E0,7.293471474E0
1.030257333E0,-1.094276662E0,7.275253065E0,-1.897209810E0,7.597772939E0
1.040205333E0,-4.662610692E-1,7.597246951E0,-1.695934029E0,7.798189076E0
1.050185333E0,1.520652484E-1,7.865932943E0,-1.072723167E0,7.940198983E0
1.060133333E0,7.510296808E-1,8.107715895E0,-1.869658899E-1,8.144572355E0
1.070113333E0,1.348312235E0,8.238553192E0,7.018015337E-1,8.377602877E0
1.080061333E0,1.932465304E0,8.191477259E0,1.395540926E0,8.531251744E0
1.090040333E0,2.541862412E0,8.056112462E0,1.637955962E0,8.604935343E0
1.099989333E0,3.164726827E0,7.777748160E0,1.503981049E0,8.530581535E0
1.109968333E0,3.767646389E0,7.477492467E0,1.209785410E0,8.460001988E0
1.119917333E0,4.334625163E0,7.128071045E0,8.284603377E-1,8.383598193E0
1.129896333E0,4.886919240E0,6.669328326E0,4.796167675E-1,8.282025852E0
1.139845333E0,5.394609001E0,6.158667009E0,2.491674371E-1,8.191035955E0
1.149824333E0,5.858758641E0,5.600481863E0,1.297720078E-1,8.106003373E0
1.159773333E0,6.270700831E0,5.048459097E0,1.064287535E-1,8.051084104E0
1.169744292E0,6.622824835E0,4.490670392E0,1.456542881E-1,8.003070944E0
1.179693292E0,6.914396828E0,3.913855432E0,2.108365631E-1,7.948056360E0
1.189672292E0,7.149850169E0,3.373069845E0,3.122319603E-1,7.911728409E0
1.199621292E0,7.326033209E0,2.863902492E0,5.116548315E-1,7.882543418E0
1.209600292E0,7.483828509E0,2.385969211E0,8.045020294E-1,7.896059888E0
1.219549292E0,7.600347730E0,1.975153195E0,1.132153170E0,7.933995624E0
1.229528292E0,7.699356878E0,1.690087398E0,1.354142786E0,7.998136936E0
1.239477292E0,7.783011239E0,1.155160137E0,1.385173813E0,7.989265634E0
1.249456292E0,7.834482524E0,1.001931512E0,1.344875972E0,8.011970703E0
1.259405292E0,7.851586799E0,8.750691515E-1,1.184062266E0,7.988439443E0
1.269384292E0,7.859766469E0,7.007741779E-1,8.723857912E-1,7.939022003E0
1.279333292E0,7.802346227E0,6.244995886E-1,5.710414926E-1,7.848101348E0
1.289312292E0,7.710291756E0,6.573229337E-1,3.880820417E-1,7.747985550E0
1.299261292E0,7.577569901E0,7.677680665E-1,3.861806003E-1,7.626150331E0
1.309240292E0,7.398929862E0,9.443411154E-1,5.284338554E-1,7.477645725E0
1.319189292E0,7.185916965E0,1.216985672E0,7.158863068E-1,7.323315503E0
1.329168292E0,6.912657866E0,1.515174374E0,8.748814559E-1,7.130638802E0
1.339117292E0,6.591872599E0,1.880580913E0,9.468069593E-1,6.919957540E0
1.349096292E0,6.230295401E0,2.331558530E0,9.323619246E-1,6.717294450E0
1.359045292E0,5.835065138E0,2.811085762E0,8.460710549E-1,6.531923496E0
1.369024292E0,5.396652018E0,3.336634090E0,7.434418952E-1,6.388245918E0
1.378973292E0,4.916960480E0,3.877008618E0,6.681297576E-1,6.297149637E0
1.388952292E0,4.405385243E0,4.417916996E0,6.059340942E-1,6.268378247E0
1.398901292E0,3.863472021E0,4.954656894E0,5.252308603E-1,6.304832151E0
1.408880292E0,3.282756091E0,5.519351161E0,4.076515762E-1,6.434741999E0
1.418829292E0,2.669423807E0,6.055905118E0,1.997081606E-1,6.621155006E0
1.428808292E0,2.024192038E0,6.530162839E0,-5.483518839E-2,6.836913559E0
1.438757292E0,1.347120718E0,6.958694165E0,-3.071390355E-1,7.094539668E0
1.448736292E0,6.585409087E-1,7.313212019E0,-5.036347175E-1,7.360053946E0
1.458685292E0,-3.982107349E-2,7.595678728E0,-5.869651419E-1,7.618428259E0
1.468664292E0,-7.586721379E-1,7.823979755E0,-5.327357250E-1,7.878708649E0
1.478613292E0,-1.464784677E0,7.957098051E0,-3.824476647E-1,8.099831465E0
1.488592292E0,-2.154165848E0,7.991591946E0,-2.236677297E-1,8.279855046E0
1.498541292E0,-2.836208617E0,7.946461966E0,-8.759655297E-2,8.437891339E0
1.508520292E0,-3.467805263E0,7.793861332E0,-3.956343055E-2,8.530622080E0
1.518469292E0,-4.056018201E0,7.530717916E0,-1.139593095E-1,8.554296155E0
1.528448292E0,-4.602389925E0,7.166197230E0,-2.688105369E-1,8.521070054E0
1.538397292E0,-5.091505714E0,6.749147497E0,-4.432609733E-1,8.465866918E0
1.548376292E0,-5.529301953E0,6.272843835E0,-6.089663871E-1,8.384067624E0
1.558325292E0,-5.925961860E0,5.736644804E0,-7.520777942E-1,8.282012955E0
1.568304292E0,-6.284887345E0,5.145992408E0,-8.564259622E-1,8.167895215E0
1.578253292E0,-6.594961098E0,4.524383683E0,-9.540568489E-1,8.054426365E0
1.588232292E0,-6.878494340E0,3.921777824E0,-1.044468325E0,7.986547424E0
1.598181292E0,-7.128338263E0,3.306927311E0,-1.094367878E0,7.933890325E0
1.608160292E0,-7.345345393E0,2.690319709E0,-1.122561910E0,7.902661850E0
1.618109292E0,-7.523494266E0,2.088111461E0,-1.090183026E0,7.883633330E0
1.628088292E0,-7.667439852E0,1.534664898E0,-9.990605289E-1,7.883080119E0
1.638037292E0,-7.777648172E0,1.020313988E0,-9.004519878E-1,7.895800498E0
1.648016292E0,-7.854519178E0,5.600702888E-1,-8.374313553E-1,7.918866176E0
1.657965292E0,-7.906624301E0,1.573550051E-1,-8.547506618E-1,7.954248370E0
1.667944292E0,-7.937450822E0,-1.833949953E-1,-9.488579433E-1,7.996067200E0
1.677893292E0,-7.926091436E0,-4.594806379E-1,-1.066976377E0,8.010773152E0
1.687872292E0,-7.901821398E0,-6.548980933E-1,-1.185681872E0,8.017076426E0
1.697821292E0,-7.863302280E0,-7.813084638E-1,-1.270380691E0,8.003488787E0
1.707800292E0,-7.800502015E0,-8.202731395E-1,-1.245055815E0,7.941715412E0
1.717749292E0,-7.719772432E0,-7.617068428E-1,-1.143278083E0,7.841056593E0
1.727728292E0,-7.621723981E0,-6.337598240E-1,-1.017772204E0,7.715451264E0
1.737707292E0,-7.483744310E0,-4.366361511E-1,-9.139304776E-1,7.551976492E0
1.747656292E0,-7.320422221E0,-1.519445765E-1,-8.895069502E-1,7.375831564E0
1.757635292E0,-7.126062527E0,1.969581968E-1,-9.243062156E-1,7.188456138E0
1.767584292E0,-6.883349283E0,6.116070628E-1,-1.007372931E0,6.983506338E0
1.777563292E0,-6.611014629E0,1.091578099E0,-1.066604056E0,6.784887721E0
1.787512292E0,-6.304661459E0,1.608111189E0,-1.030489240E0,6.587616093E0
1.797491292E0,-5.972936636E0,2.162441851E0,-9.167692278E-1,6.418145576E0
1.807440292E0,-5.596308705E0,2.774080489E0,-7.362732089E-1,6.289379295E0
1.817419292E0,-5.173997648E0,3.406081470E0,-5.378928962E-1,6.217794738E0
1.827368292E0,-4.724253209E0,4.043635553E0,-3.607778104E-1,6.228941924E0
1.837347292E0,-4.228830028E0,4.666749351E0,-2.647730345E-1,6.303305298E0
1.847296292E0,-3.687832772E0,5.286667646E0,-2.203628469E-1,6.449614341E0
1.857275292E0,-3.111694627E0,5.877805946E0,-2.087122331E-1,6.653931694E0
1.867224292E0,-2.502918786E0,6.401966729E0,-2.102728915E-1,6.877062974E0
1.877203292E0,-1.863005937E0,6.877741218E0,-2.103915535E-1,7.128701143E0
1.887152292E0,-1.190528044E0,7.292152103E0,-1.874734465E-1,7.391074726E0
1.897131292E0,-5.138246602E-1,7.610527732E0,-1.397233202E-1,7.629133028E0
1.907080292E0,1.592858288E-1,7.857982484E0,-9.634574175E-2,7.860187223E0
